Distribución de pasos en el intervalo [2^k, 2^(k+1)-1] para la conjetura de Collatz

k,pasos,cantidad_k28,porcentaje_k28,cantidad_k29,porcentaje_k29,cantidad_k30,porcentaje_k30
28,1,134217728,50.0000%,268435456,50.0000%,536870912,50.0000%
28,3,22369621,8.3333%,44739243,8.3333%,89478485,8.3333%
28,4,22369622,8.3333%,44739243,8.3333%,89478486,8.3333%
28,6,20505486,7.6389%,41010973,7.6389%,82021944,7.6389%
28,7,3728270,1.3889%,7456540,1.3889%,14913081,1.3889%
28,8,3106892,1.1574%,6213784,1.1574%,12427567,1.1574%
28,9,11495500,4.2824%,22990999,4.2824%,45982000,4.2824%
28,11,6343237,2.3630%,12686476,2.3630%,25372950,2.3630%
28,12,3547035,1.3214%,7094069,1.3214%,14188139,1.3214%
28,13,392676,0.1463%,785353,0.1463%,1570706,0.1463%
28,14,7383182,2.7504%,14766367,2.7505%,29532732,2.7505%
28,16,2278384,0.8488%,4556773,0.8488%,9113549,0.8488%
28,17,2900847,1.0806%,5801693,1.0806%,11603379,1.0806%
28,19,4063109,1.5136%,8126223,1.5136%,16252449,1.5136%
28,20,470682,0.1753%,941362,0.1753%,1882714,0.1753%
28,21,810981,0.3021%,1621960,0.3021%,3243915,0.3021%
28,22,2478602,0.9234%,4957204,0.9234%,9914382,0.9233%
28,24,1919464,0.7151%,3838928,0.7151%,7677854,0.7151%
28,25,834288,0.3108%,1668587,0.3108%,3337156,0.3108%
28,26,225498,0.0840%,450999,0.0840%,902002,0.0840%
28,27,2145884,0.7994%,4291745,0.7994%,8583498,0.7994%
28,29,900098,0.3353%,1800147,0.3353%,3600320,0.3353%
28,30,902931,0.3364%,1805975,0.3364%,3611927,0.3364%
28,32,1714024,0.6385%,3428051,0.6385%,6856016,0.6385%
28,33,39372,0.0147%,78763,0.0147%,157565,0.0147%
28,34,395025,0.1472%,789940,0.1471%,1579877,0.1471%
28,35,861048,0.3208%,1722079,0.3208%,3444278,0.3208%
28,37,914595,0.3407%,1829234,0.3407%,3658497,0.3407%
28,38,259295,0.0966%,518475,0.0966%,1037034,0.0966%
28,39,147782,0.0551%,295640,0.0551%,591334,0.0551%
28,40,852260,0.3175%,1704643,0.3175%,3409092,0.3175%
28,42,477894,0.1780%,955985,0.1781%,1911657,0.1780%
28,43,352662,0.1314%,705114,0.1313%,1411271,0.1314%
28,44,24650,0.0092%,49276,0.0092%,98144,0.0091%
28,45,789928,0.2943%,1579414,0.2942%,3159826,0.2943%
28,47,234852,0.0875%,470405,0.0876%,940434,0.0876%
28,48,372141,0.1386%,743490,0.1385%,1487377,0.1385%
28,50,520996,0.1941%,1042004,0.1941%,2084651,0.1941%
28,51,81099,0.0302%,161911,0.0302%,324290,0.0302%
28,52,102886,0.0383%,205862,0.0383%,411383,0.0383%
28,53,387082,0.1442%,775048,0.1444%,1551915,0.1445%
28,55,289634,0.1079%,579340,0.1079%,1159000,0.1079%
28,56,149947,0.0559%,299371,0.0558%,598301,0.0557%
28,57,31359,0.0117%,62504,0.0116%,125218,0.0117%
28,58,385394,0.1436%,770416,0.1435%,1541011,0.1435%
28,60,153693,0.0573%,306171,0.0570%,613005,0.0571%
28,61,177399,0.0661%,354553,0.0660%,711255,0.0662%
28,63,325873,0.1214%,651644,0.1214%,1304074,0.1215%
28,64,15842,0.0059%,31597,0.0059%,63535,0.0059%
28,65,73857,0.0275%,147548,0.0275%,295089,0.0275%
28,66,187435,0.0698%,376135,0.0701%,752179,0.0701%
28,68,188411,0.0702%,377018,0.0702%,754588,0.0703%
28,69,63580,0.0237%,126380,0.0235%,253353,0.0236%
28,70,28843,0.0107%,57833,0.0108%,115646,0.0108%
28,71,199027,0.0741%,398187,0.0742%,796712,0.0742%
28,73,104394,0.0389%,210334,0.0392%,420704,0.0392%
28,74,88038,0.0328%,176062,0.0328%,351192,0.0327%
28,75,3630,0.0014%,7301,0.0014%,14620,0.0014%
28,76,195602,0.0729%,391944,0.0730%,782779,0.0729%
