p     | A   | B   | Peso (fracción exacta)                   | %            | Acumulado % 
--------------------------------------------------------------------------------------------------------------
1     | 0   | 1   | 1/2                                      | 50.000000    | 50.000000   
3     | 1   | 2   | 1/12                                     | 8.333333     | 58.333333   
4     | 1   | 3   | 1/12                                     | 8.333333     | 66.666666   
6     | 2   | 4   | 11/144                                   | 7.638888     | 74.305555   
7     | 2   | 5   | 1/72                                     | 1.388888     | 75.694444   
8     | 3   | 5   | 5/432                                    | 1.157407     | 76.851851   
9     | 3   | 6   | 37/864                                   | 4.282407     | 81.134259   
11    | 4   | 7   | 245/10368                                | 2.363040     | 83.497299   
12    | 4   | 8   | 137/10368                                | 1.321373     | 84.818672   
13    | 5   | 8   | 91/62208                                 | 0.146283     | 84.964956   
14    | 5   | 9   | 1711/62208                               | 2.750450     | 87.715406   
16    | 6   | 10  | 11/1296                                  | 0.848765     | 88.564171   
17    | 6   | 11  | 2689/248832                              | 1.080648     | 89.644820   
19    | 7   | 12  | 67795/4478976                            | 1.513627     | 91.158447   
20    | 7   | 13  | 15707/8957952                            | 0.175341     | 91.333789   
21    | 8   | 13  | 162379/53747712                          | 0.302113     | 91.635902   
22    | 8   | 14  | 496279/53747712                          | 0.923349     | 92.559251   
24    | 9   | 15  | 1537303/214990848                        | 0.715055     | 93.274306   
25    | 9   | 16  | 334093/107495424                         | 0.310797     | 93.585104   
26    | 10  | 16  | 270907/322486272                         | 0.084005     | 93.669109   
27    | 10  | 17  | 80561/10077696                           | 0.799398     | 94.468508   
29    | 11  | 18  | 51902855/15479341056                     | 0.335304     | 94.803812   
30    | 11  | 19  | 6508891/1934917632                       | 0.336391     | 95.140204   
32    | 12  | 20  | 148257341/23219011584                    | 0.638517     | 95.778721   
33    | 12  | 21  | 27260083/185752092672                    | 0.014675     | 95.793396   
34    | 13  | 21  | 1639871843/1114512556032                 | 0.147138     | 95.940534   
35    | 13  | 22  | 1787508691/557256278016                  | 0.320769     | 96.261304   
37    | 14  | 23  | 136706008999/40122452017152              | 0.340721     | 96.602026   
38    | 14  | 24  | 38751438175/40122452017152               | 0.096582     | 96.698609   
39    | 15  | 24  | 132588234701/240734712102912             | 0.055076     | 96.753685   
40    | 15  | 25  | 191081695475/60183678025728              | 0.317497     | 97.071183   
42    | 16  | 26  | 2572153924015/1444408272617472           | 0.178076     | 97.249259   
43    | 16  | 27  | 3796831372379/2888816545234944           | 0.131432     | 97.380691   
44    | 17  | 27  | 1586510572075/17332899271409664          | 0.009153     | 97.389845   
45    | 17  | 28  | 51002954891233/17332899271409664         | 0.294255     | 97.684100   
47    | 18  | 29  | 60725516211607/69331597085638656         | 0.087587     | 97.771687   
48    | 18  | 30  | 48014596205863/34665798542819328         | 0.138507     | 97.910194   
50    | 19  | 31  | 2422232796678025/1247968747541495808     | 0.194094     | 98.104288   
51    | 19  | 32  | 376677666287143/1247968747541495808      | 0.030183     | 98.134471   
52    | 20  | 32  | 5735747576963599/14975624970497949696    | 0.038300     | 98.172772   
53    | 20  | 33  | 2704280543070581/1871953121312243712     | 0.144463     | 98.317235   
55    | 21  | 34  | 48463269849228929/44926874911493849088    | 0.107871     | 98.425106   
56    | 21  | 35  | 100223714027845505/179707499645975396352  | 0.055770     | 98.480877   
57    | 22  | 35  | 125788259489738545/1078244997875852378112  | 0.011666     | 98.492543   
58    | 22  | 36  | 1548172459175980987/1078244997875852378112 | 0.143582     | 98.636125   
60    | 23  | 37  | 2464204334092107983/4312979991503409512448 | 0.057134     | 98.693260   
61    | 23  | 38  | 951641154180446777/1437659997167803170816  | 0.066193     | 98.759454   
63    | 24  | 39  | 10468778298809329159/8625959983006819024896 | 0.121363     | 98.880817   
64    | 24  | 40  | 18948458903527009/319479999370622926848   | 0.005931     | 98.886748   
65    | 25  | 40  | 2371365597303557707/8625959983006819024896 | 0.027491     | 98.914239   
66    | 25  | 41  | 1341366632508319255/1916879996223737561088 | 0.069976     | 98.984216   
68    | 26  | 42  | 3926319690957285450677/5589622068988418728132608 | 0.070243     | 99.054459   
